주문번호,주문일자,배송일자,배송방식,고객번호,고객이름,고객구분,국가,권역,시/도,시/군/구,제품번호,제품명,분류1,분류2,매출,판매량,할인율,수익,반품여부,수익률
CA-2020-152156,2020-11-08,2020-11-11,빠른배송,CG-12520,류미령,개인고객,대한민국,호남,광주광역시,북구,FUR-BO-10001798,Bush Somerset Collection Bookcase,가구,책장,317364.54,2,0.0,50778.3264,No,16.0
CA-2020-152156,2020-11-08,2020-11-11,빠른배송,CG-12520,류미령,개인고객,대한민국,호남,광주광역시,북구,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",가구,의자,886745.31,3,0.0,266023.593,No,30.0
CA-2020-138688,2020-06-12,2020-06-16,빠른배송,DV-13045,문윤재,기업고객,대한민국,수도권,경기도,광명시,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,사무용품,라벨류,17712.13,2,0.0,8324.7011,No,47.0
US-2019-108966,2019-10-11,2019-10-18,일반배송,SO-20335,천경아,개인고객,대한민국,수도권,서울특별시,용산구,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,가구,책상,1160105.14125,5,0.45,-464042.0565,No,-40.0
US-2019-108966,2019-10-11,2019-10-18,일반배송,SO-20335,천경아,개인고객,대한민국,수도권,서울특별시,용산구,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,사무용품,수납제품,27098.832,2,0.2,3048.6186,No,11.25
CA-2018-115812,2018-06-09,2018-06-14,일반배송,BH-11710,나정진,개인고객,대한민국,영남,경상북도,경산시,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",가구,가구소품,59193.89,7,0.0,17166.2281,No,28.999999999999996
CA-2018-115812,2018-06-09,2018-06-14,일반배송,BH-11710,나정진,개인고객,대한민국,영남,경상북도,경산시,OFF-AR-10002833,Newell 322,사무용품,필기구,8819.72,4,0.0,2381.3244,No,27.0
CA-2018-115812,2018-06-09,2018-06-14,일반배송,BH-11710,나정진,개인고객,대한민국,영남,경상북도,경산시,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,전자제품,전화기,1099014.648,6,0.2,109901.4648,No,10.0
CA-2018-115812,2018-06-09,2018-06-14,일반배송,BH-11710,나정진,개인고객,대한민국,영남,경상북도,경산시,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,사무용품,바인더,22417.596,3,0.2,7005.49875,No,31.249999999999993
CA-2018-115812,2018-06-09,2018-06-14,일반배송,BH-11710,나정진,개인고객,대한민국,영남,경상북도,경산시,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,사무용품,집기비품,139201.35,5,0.0,41760.405,No,30.0
CA-2018-115812,2018-06-09,2018-06-14,일반배송,BH-11710,나정진,개인고객,대한민국,영남,경상북도,경산시,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,가구,책상,2067041.916,9,0.2,103352.0958,No,5.0
CA-2018-115812,2018-06-09,2018-06-14,일반배송,BH-11710,나정진,개인고객,대한민국,영남,경상북도,경산시,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,전자제품,전화기,1104190.176,4,0.2,82814.2632,No,7.5
CA-2021-114412,2021-04-15,2021-04-20,일반배송,AA-10480,고형진,개인고객,대한민국,수도권,서울특별시,영등포구,OFF-PA-10002365,Xerox 1967,사무용품,종이류,18841.248,3,0.2,6594.4368,No,35.0
CA-2020-161389,2020-12-05,2020-12-10,일반배송,IM-15070,성주혁,개인고객,대한민국,충청,충청북도,음성군,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,사무용품,바인더,494262.924,3,0.2,160635.4503,No,32.5
US-2019-118983,2019-11-22,2019-11-26,일반배송,HP-14815,서지선,홈오피스,대한민국,영남,경상남도,창원시,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",사무용품,집기비품,83363.315,5,0.8,-150053.967,No,-180.0
US-2019-118983,2019-11-22,2019-11-26,일반배송,HP-14815,서지선,홈오피스,대한민국,영남,경상남도,창원시,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,사무용품,바인더,3082.056,3,0.8,-4623.084,No,-150.0
CA-2018-105893,2018-11-11,2018-11-18,일반배송,PK-19075,정자철,개인고객,대한민국,영남,울산광역시,동구,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",사무용품,수납제품,806713.62,6,0.0,16134.2724,No,2.0
CA-2018-167164,2018-05-13,2018-05-15,빠른배송,AG-10270,고서준,개인고객,대한민국,수도권,경기도,시흥시,OFF-ST-10000107,Fellowes Super Stor/Drawer,사무용품,수납제품,67238.25,2,0.0,12102.885,No,18.0
CA-2018-143336,2018-08-27,2018-09-01,빠른배송,ZD-21925,황상철,개인고객,대한민국,수도권,경기도,과천시,OFF-AR-10003056,Newell 341,사무용품,필기구,10370.44,2,0.0,3007.4276,Yes,28.999999999999996
CA-2018-143336,2018-08-27,2018-09-01,빠른배송,ZD-21925,황상철,개인고객,대한민국,수도권,경기도,과천시,TEC-PH-10001949,Cisco SPA 501G IP Phone,전자제품,전화기,258631.02,3,0.2,19397.3265,Yes,7.5
CA-2018-143336,2018-08-27,2018-09-01,빠른배송,ZD-21925,황상철,개인고객,대한민국,수도권,경기도,과천시,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",사무용품,바인더,27525.28,4,0.2,8945.716,Yes,32.5
CA-2020-137330,2020-12-09,2020-12-13,일반배송,KB-16585,양은준,기업고객,대한민국,영남,울산광역시,남구,OFF-AR-10000246,Newell 318,사무용품,필기구,23575.79,7,0.0,6129.7054,No,26.0
